,month,region,area,crime,Violence and sexual offences,Vehicle crime,Possession of weapons,Shoplifting,Criminal damage and arson,Drugs,Violent crime,Public order,Theft from the person,Public disorder and weapons,Anti-social behaviour,Robbery,Other theft,Bicycle theft,Burglary,Other crime
4558,2012-01-01,suffolk,Suffolk Constabulary,5704,0.0,7.731416549789621,0.0,4.996493688639551,10.168302945301543,2.717391304347826,13.62201963534362,0.0,0.0,3.8394109396914446,33.66058906030855,0.5610098176718092,10.974754558204769,0.0,8.450210378681627,3.2784011220196354
4559,2012-02-01,suffolk,Suffolk Constabulary,5715,0.0,5.686789151356081,0.0,4.706911636045494,9.151356080489938,2.099737532808399,10.971128608923884,0.0,0.0,3.499562554680665,43.46456692913386,0.4549431321084864,9.361329833770778,0.0,7.086614173228346,3.5170603674540684
4560,2012-03-01,suffolk,Suffolk Constabulary,5994,0.0,5.455455455455455,0.0,5.171838505171839,10.86086086086086,2.5025025025025025,10.86086086086086,0.0,0.0,3.770437103770437,40.857524190857525,0.4838171504838171,9.876543209876543,0.0,6.87354020687354,3.28661995328662
4561,2012-04-01,suffolk,Suffolk Constabulary,5503,0.0,5.851353807014355,0.0,5.578775213519898,10.721424677448665,2.471379247683082,12.229692894784662,0.0,0.0,4.252226058513538,36.85262584045066,0.5996729056878066,11.048518989642014,0.0,7.486825367981101,2.907504997274214
4562,2012-05-01,suffolk,Suffolk Constabulary,5909,0.0,5.940091386021323,0.0,4.99238449822305,10.678625825012693,2.4369605686241327,11.626332712810965,0.0,0.0,3.621594178371975,39.8036892875275,0.28769673379590455,10.543239126755797,0.0,7.023184972076494,3.0462007107801656
4563,2012-06-01,suffolk,Suffolk Constabulary,5865,0.0,4.910485933503836,0.0,4.876385336743393,10.042625745950554,2.6427962489343564,11.901108269394715,0.0,0.0,3.785166240409207,41.36402387041773,0.2898550724637681,9.582267689684569,0.0,7.638533674339301,2.9667519181585678
4564,2012-07-01,suffolk,Suffolk Constabulary,6372,0.0,4.5668549905838045,0.0,4.723791588198368,11.362209667294414,2.699309478970496,12.084118016321407,0.0,0.0,3.672316384180791,40.1443816698054,0.23540489642184556,11.440677966101696,0.0,5.916509730069052,3.1544256120527305
4565,2012-08-01,suffolk,Suffolk Constabulary,6359,0.0,4.277402107249568,0.0,4.6390941972008175,10.033024060386854,2.5947476018241864,12.093096398804844,0.0,0.0,3.664098128636578,43.59175971064633,0.5504010064475546,10.69350526812392,0.0,5.126592231482937,2.7362792891964145
4566,2012-09-01,suffolk,Suffolk Constabulary,5820,0.0,4.742268041237113,0.0,5.171821305841925,9.707903780068728,3.52233676975945,11.838487972508592,0.0,0.0,3.281786941580756,41.28865979381443,0.3951890034364261,10.240549828178693,0.0,6.8728522336769755,2.9381443298969074
4567,2012-10-01,suffolk,Suffolk Constabulary,5674,0.0,5.8688755727881565,0.0,5.181529784984138,10.23968981318294,2.0267888614733875,12.037363412054988,0.0,0.0,3.5424744448360945,40.46528022559041,0.5111032781106803,9.887204793796263,0.0,7.631300669721536,2.608389143461403
